word	wrong_coverage	label
apple	5.000	medium
awkward	3.000	easy
bagpipes	2.000	v_easy
banana	4.000	medium
bicycle	4.000	medium
bridge	0.000	v_easy
butter	8.000	v_hard
butterfly	4.000	medium
buzzard	6.000	hard
camera	1.000	v_easy
castle	3.000	easy
coffee	1.000	v_easy
compass	3.000	easy
cookie	1.000	v_easy
croquet	3.000	easy
crypt	7.000	hard
diamond	3.000	easy
duplex	3.000	easy
dwarves	16.000	v_hard
earth	1.000	v_easy
elephant	1.000	v_easy
espionage	2.000	v_easy
fishing	6.000	hard
flopping	4.000	medium
forest	3.000	easy
foxglove	2.000	v_easy
galvanize	0.000	v_easy
garden	0.000	v_easy
gazebo	6.000	hard
giraffe	2.000	v_easy
guitar	3.000	easy
haiku	9.000	v_hard
happy	9.000	v_hard
harvest	3.000	easy
holiday	3.000	easy
hyphen	8.000	v_hard
ivory	5.000	medium
ivy	6.000	hard
jacket	5.000	medium
jackpot	7.000	hard
jigsaw	3.000	easy
jinx	8.000	v_hard
jukebox	7.000	hard
jungle	7.000	hard
kangaroo	5.000	medium
kayak	7.000	hard
kiosk	6.000	hard
kitten	5.000	medium
ladder	2.000	v_easy
lantern	2.000	v_easy
larynx	5.000	medium
letter	4.000	medium
lymph	6.000	hard
market	4.000	medium
marquis	4.000	medium
matrix	4.000	medium
monkey	6.000	hard
mountain	2.000	v_easy
notebook	2.000	v_easy
nymph	7.000	hard
octopus	4.000	medium
onyx	3.000	easy
orange	3.000	easy
oxidize	3.000	easy
paper	3.000	easy
pencil	3.000	easy
penguin	2.000	v_easy
people	7.000	hard
pixel	6.000	hard
pizza	7.000	hard
planet	3.000	easy
pocket	7.000	hard
postcard	2.000	v_easy
puppy	11.000	v_hard
purple	6.000	hard
puzzle	9.000	v_hard
pyjamas	19.000	v_hard
quartz	4.000	medium
question	2.000	v_easy
quibble	4.000	medium
rabbit	3.000	easy
rhythm	6.000	hard
river	6.000	hard
rocket	3.000	easy
school	3.000	easy
silver	8.000	v_hard
sphinx	4.000	medium
steam	3.000	easy
strawberry	0.000	v_easy
summer	7.000	hard
topaz	8.000	v_hard
turtle	4.000	medium
volcano	4.000	medium
vortex	5.000	medium
whiskey	3.000	easy
winter	5.000	medium
yellow	7.000	hard
zebra	2.000	v_easy
zephyr	4.000	medium
zodiac	5.000	medium
