word	wrong_freq_raw	label
apple	1.000	v_easy
awkward	5.000	hard
bagpipes	3.000	easy
banana	2.000	v_easy
bicycle	3.000	easy
bridge	1.000	v_easy
butter	4.000	medium
butterfly	3.000	easy
buzzard	4.000	medium
camera	2.000	v_easy
castle	4.000	medium
coffee	1.000	v_easy
compass	3.000	easy
cookie	1.000	v_easy
croquet	2.000	v_easy
crypt	6.000	hard
diamond	3.000	easy
duplex	3.000	easy
dwarves	2.000	v_easy
earth	1.000	v_easy
elephant	0.000	v_easy
espionage	1.000	v_easy
fishing	5.000	hard
flopping	5.000	hard
forest	5.000	hard
foxglove	2.000	v_easy
galvanize	0.000	v_easy
garden	0.000	v_easy
gazebo	3.000	easy
giraffe	1.000	v_easy
guitar	4.000	medium
haiku	5.000	hard
happy	8.000	v_hard
harvest	5.000	hard
holiday	3.000	easy
hyphen	6.000	hard
ivory	5.000	hard
ivy	8.000	v_hard
jacket	7.000	v_hard
jackpot	3.000	easy
jigsaw	2.000	v_easy
jinx	9.000	v_hard
jukebox	4.000	medium
jungle	7.000	v_hard
kangaroo	4.000	medium
kayak	7.000	v_hard
kiosk	4.000	medium
kitten	5.000	hard
ladder	2.000	v_easy
lantern	3.000	easy
larynx	3.000	easy
letter	4.000	medium
lymph	6.000	hard
market	5.000	hard
marquis	3.000	easy
matrix	5.000	hard
monkey	6.000	hard
mountain	2.000	v_easy
notebook	2.000	v_easy
nymph	7.000	v_hard
octopus	4.000	medium
onyx	4.000	medium
orange	4.000	medium
oxidize	3.000	easy
paper	4.000	medium
pencil	3.000	easy
penguin	0.000	v_easy
people	3.000	easy
pixel	5.000	hard
pizza	7.000	v_hard
planet	3.000	easy
pocket	6.000	hard
postcard	3.000	easy
puppy	9.000	v_hard
purple	8.000	v_hard
puzzle	9.000	v_hard
pyjamas	2.000	v_easy
quartz	3.000	easy
question	1.000	v_easy
quibble	4.000	medium
rabbit	4.000	medium
rhythm	6.000	hard
river	6.000	hard
rocket	4.000	medium
school	3.000	easy
silver	5.000	hard
sphinx	3.000	easy
steam	3.000	easy
strawberry	1.000	v_easy
summer	7.000	v_hard
topaz	8.000	v_hard
turtle	5.000	hard
volcano	4.000	medium
vortex	4.000	medium
whiskey	4.000	medium
winter	5.000	hard
yellow	6.000	hard
zebra	2.000	v_easy
zephyr	3.000	easy
zodiac	3.000	easy
