word	length	wrong_freq_raw	wrong_coverage	wrong_info_gain	rare_score	dup_factor	structural_score
apple	5	1	5	1	4.953	1.250	3.962
happy	5	8	9	16	6.852	1.250	5.481
banana	6	3	3	12	4.205	2.000	2.103
letter	6	3	3	3	3.768	1.500	2.512
summer	6	5	8	16	5.584	1.200	4.653
yellow	6	6	6	20	7.549	1.200	6.291
people	6	3	3	14	4.682	1.500	3.122
school	6	3	4	9	6.853	1.200	5.711
earth	5	1	1	14	6.248	1.000	6.248
coffee	6	0	1	4	5.727	1.500	3.818
cookie	6	2	2	0	6.896	1.200	5.747
paper	5	3	6	5	4.783	1.250	3.826
puppy	5	9	9	19	5.623	1.667	3.374
kitten	6	4	4	5	6.431	1.200	5.359
butter	6	5	4	16	6.181	1.200	5.151
pizza	5	6	6	22	8.191	1.250	6.553
puzzle	6	6	9	21	8.952	1.200	7.460
steam	5	3	3	10	5.807	1.000	5.807
butterfly	9	3	2	17	10.097	1.125	8.975
strawberry	10	0	0	17	8.956	1.250	7.165
garden	6	0	0	9	6.545	1.000	6.545
market	6	4	5	10	7.857	1.000	7.857
pocket	6	6	6	14	8.821	1.000	8.821
rocket	6	3	3	9	7.934	1.000	7.934
guitar	6	3	3	15	7.493	1.000	7.493
jacket	6	5	5	11	10.731	1.000	10.731
pencil	6	3	3	12	7.402	1.000	7.402
rabbit	6	4	3	15	6.159	1.200	5.133
turtle	6	3	4	10	5.340	1.200	4.450
monkey	6	6	5	19	9.414	1.000	9.414
orange	6	4	3	13	6.535	1.000	6.535
purple	6	6	6	14	5.937	1.200	4.947
silver	6	5	5	16	7.179	1.000	7.179
winter	6	3	3	17	7.353	1.000	7.353
zebra	5	1	2	21	9.102	1.000	9.102
bridge	6	1	1	13	7.547	1.000	7.547
planet	6	3	3	14	6.791	1.000	6.791
forest	6	5	5	15	6.956	1.000	6.956
castle	6	4	3	14	6.215	1.000	6.215
river	5	4	4	18	6.163	1.250	4.930
bicycle	7	3	3	19	8.010	1.167	6.866
camera	6	2	2	14	5.804	1.200	4.837
diamond	7	3	2	10	6.729	1.167	5.767
elephant	8	0	0	13	7.087	1.143	6.201
fishing	7	5	3	5	8.006	1.167	6.862
giraffe	7	0	2	12	6.523	1.167	5.591
holiday	7	2	2	18	9.259	1.000	9.259
jungle	6	4	6	11	10.300	1.000	10.300
kangaroo	8	3	3	11	7.065	1.333	5.299
ladder	6	1	1	3	4.722	1.200	3.935
mountain	8	2	2	14	6.978	1.143	6.106
notebook	8	3	3	14	7.387	1.333	5.540
octopus	7	4	4	15	7.401	1.167	6.344
penguin	7	0	3	15	6.650	1.167	5.700
question	8	1	1	13	9.523	1.000	9.523
volcano	7	3	3	16	8.252	1.167	7.074
postcard	8	2	2	12	7.915	1.000	7.915
harvest	7	4	3	15	8.239	1.000	8.239
compass	7	3	3	11	7.608	1.167	6.522
lantern	7	2	2	11	5.048	1.167	4.327
awkward	7	4	3	18	7.831	1.400	5.593
bagpipes	8	3	3	11	7.161	1.143	6.266
croquet	7	2	2	14	10.439	1.000	10.439
dwarfs	6	1	1	17	8.777	1.000	8.777
espionage	9	1	1	11	6.226	1.125	5.534
flopping	8	5	3	10	8.618	1.143	7.541
gazebo	6	3	3	20	10.400	1.000	10.400
haiku	5	6	6	17	8.322	1.000	8.322
ivory	5	5	5	20	8.701	1.000	8.701
jukebox	7	4	3	17	15.606	1.000	15.606
kayak	5	6	7	22	5.293	1.667	3.176
lymph	5	6	6	13	9.250	1.000	9.250
matrix	6	6	4	18	9.945	1.000	9.945
zephyr	6	3	3	20	11.156	1.000	11.156
jigsaw	6	2	2	17	11.137	1.000	11.137
whisky	6	4	4	19	10.983	1.000	10.983
quibble	7	4	4	15	9.873	1.167	8.462
pyjamas	7	2	2	19	11.401	1.167	9.772
jackpot	7	4	5	13	12.765	1.000	12.765
oxidise	7	1	1	18	8.214	1.167	7.040
buzzard	7	4	4	20	10.272	1.167	8.805
crypt	5	6	6	16	8.237	1.000	8.237
duplex	6	4	4	18	10.231	1.000	10.231
foxglove	8	4	4	17	12.460	1.143	10.902
galvanise	9	0	0	14	7.210	1.125	6.409
hyphen	6	6	7	20	7.544	1.200	6.287
ivy	3	8	6	20	7.797	1.000	7.797
jinx	4	9	9	20	11.590	1.000	11.590
kiosk	5	4	3	10	5.612	1.250	4.490
larynx	6	4	4	19	10.374	1.000	10.374
marquis	7	3	4	14	10.473	1.000	10.473
nymph	5	7	7	13	9.438	1.000	9.438
onyx	4	4	4	21	9.987	1.000	9.987
pixel	5	5	5	19	9.239	1.000	9.239
quartz	6	6	6	20	13.030	1.000	13.030
rhythm	6	6	6	20	8.090	1.200	6.742
sphinx	6	3	3	18	10.791	1.000	10.791
topaz	5	8	8	21	9.482	1.000	9.482
vortex	6	4	4	18	10.491	1.000	10.491
zodiac	6	3	3	20	10.024	1.000	10.024
