word	mean_wrong_guesses	old_difficulty	new_difficulty	change
apple	6.667	v_easy	hard	changed
awkward	5.300	hard	easy	changed
bagpipes	4.940	hard	easy	changed
banana	5.472	v_easy	medium	changed
bicycle	4.820	medium	v_easy	changed
bridge	5.000	easy	easy	same
butter	8.155	v_easy	v_hard	changed
butterfly	3.780	v_easy	v_easy	same
buzzard	7.170	v_hard	v_hard	same
camera	5.340	medium	easy	changed
castle	4.680	easy	v_easy	changed
coffee	6.130	v_easy	hard	changed
compass	4.600	medium	v_easy	changed
cookie	6.600	v_easy	hard	changed
croquet	4.600	hard	v_easy	changed
crypt	6.920	v_hard	hard	changed
diamond	5.060	medium	easy	changed
duplex	6.080	v_hard	medium	changed
earth	5.330	v_easy	easy	changed
elephant	3.680	medium	v_easy	changed
espionage	2.460	hard	v_easy	changed
fishing	6.300	medium	hard	changed
flopping	6.120	hard	medium	changed
forest	5.380	easy	easy	same
foxglove	5.760	v_hard	medium	changed
galvanize	3.520	v_hard	v_easy	changed
garden	4.760	easy	v_easy	changed
gazebo	5.570	hard	medium	changed
giraffe	4.220	medium	v_easy	changed
guitar	4.920	easy	easy	same
haiku	7.310	hard	v_hard	changed
happy	8.716	v_easy	v_hard	changed
harvest	5.360	medium	easy	changed
holiday	5.120	medium	easy	changed
hyphen	6.670	v_hard	hard	changed
ivory	6.330	hard	hard	same
ivy	8.719	v_hard	v_hard	same
jacket	7.580	easy	v_hard	changed
jackpot	5.840	hard	medium	changed
jigsaw	5.780	hard	medium	changed
jinx	11.256	v_hard	v_hard	same
jukebox	6.350	hard	hard	same
jungle	6.980	medium	v_hard	changed
kangaroo	4.360	medium	v_easy	changed
kayak	7.500	hard	v_hard	changed
kiosk	7.370	v_hard	v_hard	same
kitten	7.040	v_easy	v_hard	changed
ladder	6.240	medium	hard	changed
lantern	4.480	medium	v_easy	changed
larynx	6.220	v_hard	hard	changed
letter	6.700	v_easy	hard	changed
lymph	6.030	hard	medium	changed
market	6.280	easy	hard	changed
marquis	5.400	v_hard	easy	changed
matrix	5.600	hard	medium	changed
monkey	7.490	easy	v_hard	changed
mountain	3.680	medium	v_easy	changed
notebook	4.920	medium	easy	changed
nymph	6.090	v_hard	medium	changed
octopus	4.140	medium	v_easy	changed
onyx	6.800	v_hard	hard	changed
orange	4.380	easy	v_easy	changed
oxidize	5.240	hard	easy	changed
paper	7.868	v_easy	v_hard	changed
pencil	5.060	easy	easy	same
penguin	3.900	medium	v_easy	changed
people	6.130	v_easy	hard	changed
pixel	6.820	v_hard	hard	changed
pizza	8.721	v_easy	v_hard	changed
planet	5.130	easy	easy	same
pocket	7.090	easy	v_hard	changed
postcard	3.860	medium	v_easy	changed
puppy	9.888	v_easy	v_hard	changed
purple	6.770	easy	hard	changed
puzzle	8.638	v_easy	v_hard	changed
quartz	5.930	v_hard	medium	changed
question	3.920	medium	v_easy	changed
quibble	5.600	hard	medium	changed
rabbit	5.320	easy	easy	same
rhythm	5.540	v_hard	medium	changed
river	7.247	easy	v_hard	changed
rocket	5.470	easy	easy	same
school	5.480	v_easy	medium	changed
silver	6.210	easy	hard	changed
sphinx	6.110	v_hard	medium	changed
steam	5.450	v_easy	easy	changed
strawberry	2.820	v_easy	v_easy	same
summer	7.707	v_easy	v_hard	changed
topaz	6.870	v_hard	hard	changed
turtle	5.110	easy	easy	same
volcano	4.720	medium	v_easy	changed
vortex	6.860	v_hard	hard	changed
whiskey	5.610	hard	medium	changed
winter	6.280	easy	hard	changed
yellow	7.070	v_easy	v_hard	changed
zebra	5.730	easy	medium	changed
zephyr	6.082	hard	medium	changed
zodiac	5.620	v_hard	medium	changed
